Learning Rate,Final Train Acc,Final Val Acc,Best Val Acc,Train-Val Gap,Final Loss,Epochs to 80%,Avg Epoch Time
0.1,86.24583333333334,85.25,85.30833333333334,0.9958333333333371,0.4101154978076617,4,54.46388046741485
0.01,96.08125,90.725,91.825,5.356250000000003,0.29596693937977153,1,56.32139687538147
0.001,98.56458333333333,91.925,92.43333333333334,6.639583333333334,0.2863690971086423,1,57.26179175376892
0.0001,94.86458333333333,91.43333333333334,91.68333333333334,3.4312499999999915,0.24154376362760863,1,57.111413180828094
