Model,Type,Parameters,Final Train Acc,Final Val Acc,Train-Val Gap,Avg Epoch Time
Simple MLP,MLP,101770,91.50416666666666,88.23333333333333,3.2708333333333286,0.5778125524520874
Deep MLP,MLP,242762,93.05625,88.75,4.306250000000006,1.1088382959365846
Simple CNN,CNN,804554,95.05625,91.31666666666666,3.739583333333343,23.91512703895569
Deeper CNN,CNN,824650,98.79166666666667,91.75833333333334,7.033333333333331,57.610956239700315
