Component,Time (seconds),Percentage
Data Loading,10.365600347518921,0.053742365232313453
Experiments,4744.826411724091,24.600426934638566
Test Evaluation,0.0,0.0
Visualization,0.0,0.0
Overhead,14532.385493516922,75.34583070012911
Total,19287.57750558853,100.0
