Model,Parameters,Final Train Acc,Final Val Acc,Train-Val Gap,Avg Epoch Time
Simple MLP,101770,91.50416666666666,88.23333333333333,3.2708333333333286,0.5778125524520874
Deep MLP,242762,93.05625,88.75,4.306250000000006,1.1088382959365846
MLP Width=64,50890,89.70625,88.16666666666667,1.5395833333333258,0.42277987003326417
MLP Width=128,101770,91.625,88.16666666666667,3.4583333333333286,0.5689480781555176
MLP Width=256,203530,92.73125,89.4,3.331249999999997,0.8333639144897461
MLP Width=512,407050,93.66041666666666,89.33333333333333,4.327083333333334,1.4489572882652282
